CNPJ,ProtocoloId2,Bairro (1),Situação,Data da Emissão,Grau de Risco,Principal Atividade,Item,"CNAE
(Especializado)",Descrição da Atividade,Risco Sanitário (RS),SEGMENTO DA ATIVIDADE ECONÔMICA,SUBGRUPO,Classificação Manual,Bairro (2),IDH,label_licenciados,Atividades
20696253000159.0,2.0,Chapada,Em Exigência,?,Alto Risco,5611201.0,160.0,561120101.0,"Restaurantes e similares com fornecimento de música
(uso de som amplificado)",Baixo Risco B,PRODUTOS,ALIMENTOS,Oeste,Adrianópolis,Altíssimo,Em processo,"{5611-2/01,5620-1/04,5611-2/03,5620-1/01,5611-2/04}"
27300198000185.0,3.0,D. Pedro,Aguardando Solicitação,?,Baixo Risco,5611201.0,160.0,561120101.0,"Restaurantes e similares com fornecimento de música
(uso de som amplificado)",Baixo Risco B,PRODUTOS,ALIMENTOS,Centro-Oeste,Aducandos,Baixo,Não Licenciados,"{5611-2/01.01,4723-7/00,5611-2/04,5611-2/02.01}"
29743787000163.0,5.0,Parque Dez de Novembro,Aguardando Solicitação,?,Baixo Risco,4772500.0,140.0,477250000.0,"Comércio varejista de cosméticos, produtos de perfumaria e de higiene pessoal",Baixo Risco B,PRODUTOS,COSMÉTICOS,Centro-Sul,Aleixo,Alto,Não Licenciados,{4772-5/00}
30589035000179.0,8.0,Parque Dez de Novembro,Aguardando Solicitação,?,Baixo Risco,4712100.0,127.0,471210000.0,"Comércio varejista de mercadorias em geral, com predominância de produtos
alimentícios - minimercados, mercearias e armazéns",Baixo Risco B,PRODUTOS,ALIMENTOS,Centro-Sul,Altos,Baixo,Não Licenciados,{4712-1/00}
29763082000108.0,9.0,Centro,Aguardando Solicitação,?,Baixo Risco,5510801.0,153.0,551080101.0,Hotéis,Baixo Risco B,SERVIÇOS,INTERESSE Á SAÚDE,Sul,Alvorada,Alto,Não Licenciados,"{5510-8/01,4752-1/00,4789-0/08,4729-6/99,7911-2/00,4713-0/04,5611-2/01,4757-1/00,8219-9/01,4762-8/00,7912-1/00,4691-5/00,4751-2/01,4761-0/02}"
29694862000143.0,14.0,Alvorada,Aguardando Solicitação,?,Alto Risco,5620104.0,171.0,562010400.0,"Fornecimento de alimentos preparados
preponderantemente para consumo domiciliar",Baixo Risco B,PRODUTOS,ALIMENTOS,Oeste,Aparecida,Baixo,Não Licenciados,"{5620-1/04,5611-2/03,5620-1/01,5620-1/02}"
29763092000143.0,10495.0,Gloria,Emitido Automaticamente,2020-06-30 00:00:00,Baixo Risco,8512100.0,190.0,851210000.0,"Educação infantil - pré-
escola",Baixo Risco B,SERVIÇOS,INTERESSE Á SAÚDE,Oeste,Área de Transição,Baixo,Licenciados,{8512-1/00}
19070573000110.0,17.0,Distrito Industrial,Aguardando Solicitação,?,Baixo Risco,4712100.0,127.0,471210000.0,"Comércio varejista de mercadorias em geral, com predominância de produtos
alimentícios - minimercados, mercearias e armazéns",Baixo Risco B,PRODUTOS,ALIMENTOS,Sul,Área de Transição Urbana,Baixo,Não Licenciados,"{4712-1/00,4721-1/03,4761-0/02}"
11879283000100.0,14451.0,Aleixo,Emitido Sob Inspeção,2021-03-17 00:00:00,Baixo Risco,4772500.0,140.0,477250000.0,"Comércio varejista de cosméticos, produtos de perfumaria e de higiene pessoal",Baixo Risco B,PRODUTOS,COSMÉTICOS,Centro-Sul,Área Rural de Manaus,Baixo,Licenciados,"{4772-5/00,4618-4/01,8299-7/99.99}"
29787713000129.0,1564.0,Santa Etelvina,Aguardando Solicitação,?,Alto Risco,3250706.0,79.0,325070600.0,Serviços de prótese dentária,Baixo Risco B,SERVIÇOS,ASSISTÊNCIA À SAÚDE,Norte,Armando Mendes,Baixíssimo,Não Licenciados,"{3250-7/06,8630-5/04}"
26748119000483.0,29.0,Ponta Negra,Aguardando Solicitação,?,Baixo Risco,5611203.0,163.0,561120300.0,"Lanchonetes, casas de chá,
de sucos e similares",Baixo Risco B,PRODUTOS,ALIMENTOS,Oeste,Bairro da Paz,Baixo,Não Licenciados,{5611-2/03}
29735835000171.0,31.0,Centro,Aguardando Solicitação,?,Alto Risco,8650099.0,232.0,865009901.0,Serviços de instrumentação cirúrgica,Risco Condicionado,SERVIÇOS,ASSISTÊNCIA À SAÚDE,Sul,Betania,Baixo,Não Licenciados,"{8650-0/99,8630-5/04}"
30679464000137.0,32.0,Sao Jose,Aguardando Solicitação,?,Baixo Risco,4723700.0,133.0,472370000.0,Comércio varejista de bebidas,Baixo Risco B,PRODUTOS,ALIMENTOS,Centro-Sul,Cachoeirinha,Médio,Não Licenciados,"{4723-7/00,4772-5/00,4729-6/99,4724-5/00,4721-1/03,4722-9/01}"
29813427000190.0,33.0,Sao Jose,Emitido,2019-09-20 00:00:00,Baixo Risco,5611203.0,163.0,561120300.0,"Lanchonetes, casas de chá,
de sucos e similares",Baixo Risco B,PRODUTOS,ALIMENTOS,Centro-Sul,Canaã,Baixo,Licenciados,{5611-2/03}
824023000110.0,34.0,Compensa,Aguardando Solicitação,?,Baixo Risco,4723700.0,133.0,472370000.0,Comércio varejista de bebidas,Baixo Risco B,PRODUTOS,ALIMENTOS,Oeste,Capão Raso,Baixo,Não Licenciados,{4723-7/00}
8201911000270.0,11613.0,Distrito Industrial,Emitido Sob Inspeção,2020-12-08 00:00:00,Baixo Risco,5611201.0,160.0,561120101.0,"Restaurantes e similares com fornecimento de música
(uso de som amplificado)",Baixo Risco B,PRODUTOS,ALIMENTOS,Sul,Centro,Baixo,Licenciados,"{5611-2/01.01,5611-2/03,5611-2/04}"
25384018000165.0,14303.0,N. S. Das Gracas,Emitido Automaticamente,2021-04-01 00:00:00,Baixo Risco,8599699.0,193.0,859969900.0,Outras atividades de ensino não especificadas anteriormente,Baixo Risco B,SERVIÇOS,INTERESSE Á SAÚDE,Centro-Sul,Chapada,Médio,Licenciados,"{8599-6/99,9602-5/02.01}"
29774479000103.0,43.0,Nova Esperanca,Aguardando Solicitação,?,Alto Risco,8129000.0,185.0,812900001.0,"Serviços de limpeza e
tratamento de piscinas","Risco
Condicionado",SERVIÇOS,INTERESSE Á SAÚDE,Oeste,Cidade de Deus,Baixíssimo,Não Licenciados,"{8129-0/00,1822-9/99,1821-1/00,9601-7/01,8020-0/01}"
29694112000171.0,44.0,N. S. Aparecida,Aguardando Solicitação,?,Alto Risco,8630503.0,203.0,863050300.0,Atividade médica ambulatorial restrita a consultas,Baixo Risco B,SERVIÇOS,ASSISTÊNCIA À SAÚDE,Sul,Cidade Nova,Baixo,Não Licenciados,"{8630-5/03,8630-5/02,8650-0/99.99,8630-5/04}"
