CNPJ;ProtocoloId2;Bairro;Documento;Situação;Atividades;Data da Emissão;Grau de Risco;Principal Atividade
13696457000124;1;Petrópolis;Certidão de Aprovação de Projeto junto a Vigilância Sanitária;Aguardando Solicitação;{8660-7/00.01};;Baixo Risco;8660700
20696253000159;2;Chapada;Licença Sanitária;Em Exigência;{5611-2/01,5620-1/04,5611-2/03,5620-1/01,5611-2/04};;Alto Risco;5611201
27300198000185;3;D. Pedro;Licença Sanitária;Aguardando Solicitação;{5611-2/01.01,4723-7/00,5611-2/04,5611-2/02.01};;Baixo Risco;5611201
30217656000121;4;Parque Dez de Novembro;Licença Sanitária;Aguardando Solicitação;0;;Baixo Risco;0
29743787000163;5;Parque Dez de Novembro;Licença Sanitária;Aguardando Solicitação;{4772-5/00};;Baixo Risco;4772500
22831949000176;6;Betania;Licença Sanitária;Aguardando Solicitação;{7739-0/03,8230-0/01};;Baixo Risco;7739003
29907473000159;7;Monte Das Oliveira;Licença Sanitária;Aguardando Solicitação;{4752-1/00,4757-1/00,4753-9/00,4762-8/00,4713-0/02,4751-2/01};;Baixo Risco;4752100
30589035000179;8;Parque Dez de Novembro;Licença Sanitária;Aguardando Solicitação;{4712-1/00};;Baixo Risco;4712100
29763082000108;9;Centro;Licença Sanitária;Aguardando Solicitação;{5510-8/01,4752-1/00,4789-0/08,4729-6/99,7911-2/00,4713-0/04,5611-2/01,4757-1/00,8219-9/01,4762-8/00,7912-1/00,4691-5/00,4751-2/01,4761-0/02};;Baixo Risco;5510801
29814437000140;10;Santa Etelvina;Licença Sanitária;Indeferido;{4618-4/99,4712-1/00,4619-2/00};;Baixo Risco;4618499
29919200000124;11;Cachoeirinha;Licença Sanitária;Aguardando Solicitação;{7020-4/00,8531-7/00,8599-6/99,8599-6/05,8550-3/02};;Baixo Risco;7020400
6065671000117;12;Aleixo;Licença Sanitária;Indeferido;0;;Baixo Risco;0
1183237000118;13;Alvorada;Certidão de Aprovação de Projeto junto a Vigilância Sanitária;Aguardando Solicitação;{8599-6/05,8593-7/00,5620-1/03,8650-0/05,8650-0/03,8599-6/03,8599-6/04,4761-0/01,4772-5/00,5611-2/03,8599-6/99,8512-1/00};;Baixo Risco;8599605
29694862000143;14;Alvorada;Licença Sanitária;Aguardando Solicitação;{5620-1/04,5611-2/03,5620-1/01,5620-1/02};;Alto Risco;5620104
12321325000155;15;Raiz;Licença Sanitária;Aguardando Solicitação;{7490-1/99,8599-6/04,8230-0/01};;Baixo Risco;7490199
29763092000143;10495;Gloria;Licença Sanitária;Emitido Automaticamente;{8512-1/00};30/06/2020;Baixo Risco;8512100
19070573000110;17;Distrito Industrial;Licença Sanitária;Aguardando Solicitação;{4712-1/00,4721-1/03,4761-0/02};;Baixo Risco;4712100
29789725000192;10467;Flores;Licença Sanitária;Emitido Sob Inspeção;{7729-2/99,4772-5/00};18/08/2020;Baixo Risco;7729299
29686652000103;19;Cidade Nova;Licença Sanitária;Indeferido;0;;Baixo Risco;0
19009227000126;20;Sao Raimundo;Licença Sanitária;Aguardando Solicitação;0;;Baixo Risco;0
11879283000100;14451;Aleixo;Licença Sanitária;Emitido Sob Inspeção;{4772-5/00,4618-4/01,8299-7/99.99};17/03/2021;Baixo Risco;4772500
29606541000140;22;D. Pedro;Licença Sanitária;Aguardando Solicitação;{4781-4/00,4772-5/00,4789-0/99};;Baixo Risco;4781400
29787713000129;1564;Santa Etelvina;Certidão de Aprovação de Projeto junto a Vigilância Sanitária;Aguardando Solicitação;{3250-7/06,8630-5/04};;Alto Risco;3250706
29786675000190;24;Cidade Nova;Licença Sanitária;Aguardando Solicitação;{4618-4/01,4617-6/00};;Baixo Risco;4618401
3681572000848;25;Adrianópolis;Licença Sanitária;Aguardando Solicitação;{6463-8/00,8531-7/00,8550-3/02};;Baixo Risco;6463800
97544065000130;26;Da Paz;Licença Sanitária;Emitido Automaticamente;{7319-0/03,7319-0/02,7319-0/04,8599-6/04,7020-4/00.01,8599-6/99,8299-7/99.99,8550-3/02};25/09/2020;Baixo Risco;7319003
29776824000130;27;Nova Cidade;Licença Sanitária;Aguardando Solicitação;{9003-5/00};;Baixo Risco;9003500
14213284000109;28;Petrópolis;Licença Sanitária;Aguardando Solicitação;{7711-0/00,4923-0/02,4923-0/01};;Baixo Risco;7711000
26748119000483;29;Ponta Negra;Licença Sanitária;Aguardando Solicitação;{5611-2/03};;Baixo Risco;5611203
63310411003461;12141;Lago Azul;Licença Sanitária;Em Exigência;{9521-5/00.01,4729-6/99,4757-1/00,4753-9/00,4665-6/00,4649-4/99.99,4649-4/01,4639-7/01,1081-3/02};;Alto Risco;9521500
29735835000171;31;Centro;Certidão de Aprovação de Projeto junto a Vigilância Sanitária;Aguardando Solicitação;{8650-0/99,8630-5/04};;Alto Risco;8650099
30679464000137;32;Sao Jose;Licença Sanitária;Aguardando Solicitação;{4723-7/00,4772-5/00,4729-6/99,4724-5/00,4721-1/03,4722-9/01};;Baixo Risco;4723700
29813427000190;33;Sao Jose;Licença Sanitária;Emitido;{5611-2/03};20/09/2019;Baixo Risco;5611203
824023000110;34;Compensa;Licença Sanitária;Aguardando Solicitação;{4723-7/00};;Baixo Risco;4723700
29711357000160;35;Coroado;Licença Sanitária;Aguardando Solicitação;{8121-4/00};;Baixo Risco;8121400
20219618000154;36;Presidente Vargas;Licença Sanitária;Aguardando Solicitação;{9001-9/06.01,9001-9/02.01,8230-0/01.01,7739-0/03.01};;Baixo Risco;9001906
8201911000270;11613;Distrito Industrial;Licença Sanitária;Emitido Sob Inspeção;{5611-2/01.01,5611-2/03,5611-2/04};12/08/2020;Baixo Risco;5611201
15113898000181;38;Sao Raimundo;Licença Sanitária;Aguardando Solicitação;{4781-4/00,4530-7/03,4772-5/00,4520-0/01,4782-2/01,4789-0/04,4712-1/00,4757-1/00,4541-2/06,4763-6/01,4755-5/02,4753-9/00,4543-9/00,4761-0/03,4782-2/02,4744-0/99,4751-2/01};;Baixo Risco;4781400
23796994000108;39;Parque Dez de Novembro;Certidão de Aprovação de Projeto junto a Vigilância Sanitária;Aguardando Solicitação;0;;Baixo Risco;0
14125513000133;40;Flores;Licença Sanitária;Aguardando Solicitação;{6319-4/00.01,7319-0/03,5920-1/00,8230-0/01.01,7311-4/00.01,8230-0/02,7020-4/00.01};;Baixo Risco;6319400
25384018000165;14303;N. S. Das Gracas;Licença Sanitária;Emitido Automaticamente;{8599-6/99,9602-5/02.01};04/01/2021;;8599699
21325800000152;42;Coroado;Licença Sanitária;Aguardando Solicitação;{4619-2/00};;Baixo Risco;4619200
29774479000103;43;Nova Esperanca;Licença Sanitária;Aguardando Solicitação;{8129-0/00,1822-9/99,1821-1/00,9601-7/01,8020-0/01};;Alto Risco;8129000
29694112000171;44;N. S. Aparecida;CertidÃ£o de AprovaÃ§Ã£o do Projeto;Aguardando Solicitação;{8630-5/03,8630-5/02,8650-0/99.99,8630-5/04};;Alto Risco;8630503
26594574000129;45;Alvorada;Licença Sanitária;Aguardando Solicitação;{4781-4/00,4729-6/99,5611-2/01,5620-1/04,5611-2/03,5620-1/01,5611-2/04,4721-1/02};;Alto Risco;4781400
4378413000246;46;Centro;Licença Sanitária;Indeferido;{8599-6/05};;Baixo Risco;8599605
21624764000128;8320;Distrito Industrial;Licença Sanitária;Emitido Automaticamente;{4723-7/00,4729-6/02,4772-5/00,4712-1/00,8690-9/04,5611-2/03,9602-5/02.01,4721-1/02};05/02/2020;;4723700
13518625000191;48;N. S. Das Gracas;Licença Sanitária;Aguardando Solicitação;{4781-4/00,4789-0/01,4772-5/00,4782-2/01,4763-6/02};;Baixo Risco;4781400
29817725000159;49;D. Pedro;Certidão de Aprovação de Projeto junto a Vigilância Sanitária;Aguardando Solicitação;{9602-5/02,9602-5/01};;;9602502
29830207000175;50;Compensa;Licença Sanitária;Aguardando Solicitação;{4322-3/02,4399-1/03,4330-4/04};;Baixo Risco;4322302
29748475000142;51;N. S. Das Gracas;Certidão de Aprovação de Projeto junto a Vigilância Sanitária;Aguardando Solicitação;{8610-1/02};;Alto Risco;8610102
