Bairro;IDH
Adrianópolis;Altíssimo
Aducandos;
Aleixo;Alto
Altos;
Alvorada;Alto
Aparecida;
Área de Transição;
Área de Transição Urbana;
Área Rural de Manaus;
Armando Mendes;Baixíssimo
Bairro da Paz;
Betania;Baixo
Cachoeirinha;Médio
Canaã;
Capão Raso;
Centro;Baixo
Chapada;Médio
Cidade de Deus;Baixíssimo
Cidade Nova;Baixo
Colônia Antônio Aleixo;Baixo
Colônia Oliveira Machado;Médio
Colônia Santo Antonio;
Colônia Santo Antônio;Baixo
Colônia Terra Nova;Baixíssimo
Compensa;Médio
Comunidade São José;
Coroado;Baixo
Crespo;Baixíssimo
D. Pedro;Médio
Da Paz;Médio
Da Praia;
Distrito Industrial;Baixo
Educando;Baixíssimo
Eletronorte;
Ephigenio Ferreira De Sales;
Flores;Médio
Fluvial;
Gilberto Mestrinho;Baixíssimo
Gloria;Baixíssimo
Iraci;
Japim;Baixo
Jardim Alvorada;
Jardim Rosa Elze;
Jauari I;
Jorge Teixeira;Baixíssimo
Lago Azul;Baixíssimo
Lírio do Vale;Baixo
Maresia;
Margem Esquerda Do Rio Negro;
Mauazinho;Baixíssimo
Monte Das Oliveira;Baixíssimo
Morro Da Liberdade;Baixíssimo
Mutirao;
N. S. Aparecida;Médio
N. S. Das Gracas;Médio
N. S. de Fátima;
Nova Al Eixo;
Nova Cidade;Baixíssimo
Nova Esperanca;Alto
Nova Floresta;
Nova Manaus;
Novo Aleixo;Baixo
Novo Israel;Baixíssimo
Parque das Laranjeiras;
Parque Dez de Novembro;Alto
Paz;
Petrópolis;Baixo
Planalto;Alto
Ponta Negra;Altíssimo
Praça 14 de Janeiro;Médio
Presidente Vargas;Baixo
Puraquequara;Baixíssimo
Raiz;Baixo
Redenção;Baixo
Santa Etelvina;Baixo
Santa Luzia;Baixo
Santo Agostinho;Baixo
Santo Antônio;Baixo
Santo Elias;
Sao Francisco;Médio
Sao Geraldo;Baixo
Sao Jorge;
São Jorge;Baixo
Sao Jose;Baixo
São Lázaro;Médio
Sao Raimundo;Baixo
Tancredo Neves;Baixíssimo
Taracuá;
Tarumã;Médio
Toda Comunidade;
Viila Buriti;Alto
Vila da Prata;Baixo
Zona Rural;
Zumbi dos Palmares;Baixíssimo
