Bairro;Classificação Manual
Adrianópolis;Centro-Sul
Aducandos;Sul
Aleixo;Centro-Sul
Altos;
Alvorada;Oeste
Aparecida;Sul
Área de Transição;
Área de Transição Urbana;
Área Rural de Manaus;
Armando Mendes;Centro-Sul
Bairro da Paz;Centro-Oeste
Betania;Sul
Cachoeirinha;Sul
Canaã;Norte
Capão Raso;
Centro;Sul
Chapada;Oeste
Cidade de Deus;Norte
Cidade Nova;Norte
Colônia Antônio Aleixo;Leste
Colônia Oliveira Machado;Sul
Colônia Santo Antonio;Oeste
Colônia Santo Antônio;Oeste
Colônia Terra Nova;Norte
Compensa;Oeste
Comunidade São José;Leste
Coroado;Leste
Crespo;Sul
D. Pedro;Centro-Oeste
Da Paz;Centro-Oeste
Da Praia;Oeste
Distrito Industrial;Sul
Educando;Sul
Eletronorte;Centro- Sul
Ephigenio Ferreira De Sales;Norte
Flores;Centro-Sul
Fluvial;
Gilberto Mestrinho;Leste
Gloria;Oeste
Iraci;
Japim;Sul
Jardim Alvorada;Centro-Oeste
Jardim Rosa Elze;
Jauari I;
Jorge Teixeira;Leste
Lago Azul;Norte
Lírio do Vale;Oeste
Maresia;
Margem Esquerda Do Rio Negro;Leste
Mauazinho;Leste
Monte Das Oliveira;Norte
Morro Da Liberdade;Sul
Mutirao;Norte
N. S. Aparecida;Sul
N. S. Das Gracas;Centro-Sul
N. S. de Fátima;Norte
Nova Al Eixo;Leste
Nova Cidade;Norte
Nova Esperanca;Oeste
Nova Floresta;Leste
Nova Manaus;
Novo Aleixo;Norte
Novo Israel;Norte
Parque das Laranjeiras;Centro-Sul
Parque Dez de Novembro;Centro-Sul
Paz;Centro-Oeste
Petrópolis;Sul
Planalto;Centro-Oeste
Ponta Negra;Oeste
Praça 14 de Janeiro;Sul
Presidente Vargas;Sul
Puraquequara;Leste
Raiz;Sul
Redenção;Centro-Oeste
Santa Etelvina;Norte
Santa Luzia;Sul
Santo Agostinho;Oeste
Santo Antônio;Oeste
Santo Elias;
Sao Francisco;Sul
Sao Geraldo;Centro-Sul
Sao Jorge;Oeste
São Jorge;Oeste
Sao Jose;
São Lázaro;Sul
Sao Raimundo;Oeste
Tancredo Neves;Leste
Taracuá;
Tarumã;Oeste
Toda Comunidade;
Viila Buriti;Sul
Vila da Prata;Oeste
Zona Rural;
Zumbi dos Palmares;Leste
;
